ID	CURIS	CORPUS_NAME	TERMS QUERY	NOTES
3000	NCBITaxon:42458	Absidia corymbifera		absidia corymbifera | lichtheimia corymbifera	Fungus/Human pathogen
3011	NCBITaxon:5599	Alternaria alternata		alternaria alternata	Fungus/Opportunistic human pathogen
3012	NCBITaxon:29001	Alternaria brassicicola		alternaria brassicicola	Fungus/Opportunistic human pathogen
3023	NCBITaxon:723287	Anncaliia algerae		anncaliia algerae	Fungus/Human pathogen
3024	NCBITaxon:760013	Apophysomyces variabilis		apophysomyces variabilis	Fungus/Human pathogen
3030	NCBITaxon:5059	Aspergillus flavus		aspergillus flavus	Fungus/Human pathogen
3031	NCBITaxon:746128	Aspergillus fumigatus		aspergillus fumigatus	Fungus/Human pathogen
3032	NCBITaxon:162425	Aspergillus nidulans		aspergillus nidulans	Fungus/Human pathogen
3033	NCBITaxon:5061	Aspergillus niger		aspergillus niger	Fungus/Human pathogen
3034	NCBITaxon:33178	Aspergillus terreus		aspergillus terreus	Fungus/Human pathogen
3044	NCBITaxon:34480	Basidiobolus ranarum		basidiobolus ranarum	Fungus/Human pathogen
3049	NCBITaxon:33194	Bipolaris		bipolaris	Fungus/Human pathogen
3056	NCBITaxon:5039	Blastomyces dermatitidis		blastomyces dermatitidis	Fungus/Human pathogen
3057	NCBITaxon:1681229	Blastomyces gilchristii		blastomyces gilchristii	Fungus/Human pathogen
3058	NCBITaxon:465036	Blastomyces helicus		blastomyces helicus	Fungus/Human pathogen
3068	NCBITaxon:5476	Candida albicans		candida albicans	Fungus/Human pathogen
3069	NCBITaxon:498019	Candida auris		candida auris	Fungus/Human pathogen
3070	NCBITaxon:42374	Candida dubliniensis		candida dubliniensis	Fungus/Human pathogen
3071	NCBITaxon:5478	Candida glabrata		candida glabrata | nakaseomyces glabratus	Fungus/Human pathogen
3072	NCBITaxon:4909	Candida krusei		candida krusei | pichia kudriavzevii	Fungus/Human pathogen
3073	NCBITaxon:5480	Candida parapsilosis		candida parapsilosis	Fungus/Human pathogen
3074	NCBITaxon:5482	Candida tropicalis		candida tropicalis	Fungus/Human pathogen
3088	NCBITaxon:89940	Cladophialophora bantiana		cladophialophora bantiana	Fungus/Human pathogen
3089	NCBITaxon:82106	Cladophialophora boppii		cladophialophora boppii	Fungus/Human pathogen
3090	NCBITaxon:86049	Cladophialophora carrionii		cladophialophora carrionii	Fungus/Human pathogen
3093	NCBITaxon:36911	Clavispora lusitaniae		clavispora imtechensis | clavispora lusitaniae	Fungus/Human pathogen
3097	NCBITaxon:5501	Coccidioides immitis		coccidioides immitis	Fungus/Human pathogen
