ID	CURIS	CORPUS_NAME	TERMS QUERY	NOTES
1036	NCBITaxon:10325	Cercopithecine herpesvirus		Cercopithecid herpesvirus 1 | Cercopithecine alphaherpesvirus | Cercopithecine betaherpesvirus | Cercopithecine herpesvirus 1 | Herpes virus simian agent | Herpesvirus simiae | Macacine herpesvirus 1 | Simian herpes B virus | Simian herpesvirus B | cercopithecine herpesvirus | herpes B virus | herpes virus B | simian herpes B virus SHBV | simian varicella virus	Human pathogen
1037	NCBITaxon:11272	Chandipura virus		Chandipura vesiculovirus | Vesiculovirus chandipura | chandipura vesiculovirus | chandipura virus	Human pathogen
1039	NCBITaxon:499556	Chapare mammarenavirus		Chapare virus | chapare mammarenavirus	Human pathogen
1040	NCBITaxon:37124	Chikungunya virus		chikungunya alphavirus | chikungunya virus	Human pathogen
1041	NCBITaxon:46839	Colorado tick fever virus		colorado tick fever coltivirus | colorado tick fever virus	Human pathogen
1042	NCBITaxon:1330491	Cosavirus A		cosavirus a	Human pathogen
1047	NCBITaxon:10243	Cowpox virus		cowpox orthopoxvirus | cowpox virus	Human pathogen
1048	NCBITaxon:12066	Coxsackievirus		coxsackievirus	Human pathogen
1049	NCBITaxon:1980519	Crimean-Congo hemorrhagic fever virus		Crimean-Congo haemorrhagic fever virus | Crimean-Congo hemorrhagic fever nairovirus | Crimean-Congo hemorrhagic virus | crimean-congo hemorrhagic fever nairovirus | crimean-congo hemorrhagic fever virus	Human pathogen
1051	NCBITaxon:2748958	Huaiyangshan banyangvirus		huaiyangshan banyangvirus	Human pathogen
1052	NCBITaxon:12637	Dengue virus		Breakbone Fever Virus | dengue flavivirus | dengue virus	Human pathogen
1053	NCBITaxon:11318	Dhori virus		Dhori thogotovirus | Dhori virus | Thogotovirus dhoriense | Tick-borne virus | dhori thogotovirus | dhori virus	Human pathogen
1054	NCBITaxon:1980467	Dobrava-Belgrade orthohantavirus		Dobrava virus | Dobrava-Belgrade hantavirus | Dobrava-Belgrade virus | Dobravavirus | dobrava-belgrade orthohantavirus	Human pathogen
1055	NCBITaxon:1980521	Dugbe virus		Dugbe nairovirus | Dugbe orthonairovirus | Dugbe virus | dugbe nairovirus | dugbe virus	Human pathogen
1056	NCBITaxon:38767	Duvenhage virus		Duvenhage lyssavirus | Duvenhage virus | Lyssavirus duvenhage | duvenhage lyssavirus | duvenhage virus	Human pathogen
1058	NCBITaxon:11021	Eastern equine encephalitis virus		Eastern equine encephalomyelitis virus | eastern equine encephalitis alphavirus | eastern equine encephalitis virus | eastern equine encephalomyelitis EEE | eastern equine encephalomyelitis virus EEEV	Human pathogen
1059	NCBITaxon:186536	Ebolavirus		Ebola | Ebola-like viruses | Eboloa virus | ebolavirus	Human pathogen
1061	NCBITaxon:33758	Echovirus		Enteric cytopathogenic human orphan virus | echovirus	Human pathogen
1064	NCBITaxon:12104	Encephalomyocarditis virus		encephalomyocarditis cardiovirus | encephalomyocarditis virus | encephalomyocarditis virus EMCV | encephalomyocarditis virus, EMCV	Human pathogen
1069	NCBITaxon:10376	Epstein-Barr virus		Burkitt Herpesvirus | Burkitt Lymphoma Virus | Epstein-Barr virus EBV | Human herpesvirus 4 | Human herpesvirus type 4 | epstein-barr lymphocryptovirus | epstein-barr virus	Human pathogen
1070	NCBITaxon:38768	European bat lyssavirus		european bat lyssavirus	Human pathogen
1071	NCBITaxon:2083198	Everglades virus		everglades alphavirus | everglades virus	Human pathogen
1075	NCBITaxon:54290	GB virus C/Hepatitis G virus		GB Virus C/ Hepatitis G Virus | GB virus C/HGV | GB virus C/Hepatitis G virus | Hepatitis G virus | Hepatitis GB virus C | Hepatitis GB virus C / Hepatitis G virus | Hepatitis GB virus C/G | gb pegivirus c/hepatitis g pegivirus | gb virus c/hepatitis g virus	Human pathogen
1078	NCBITaxon:45219	Guanarito mammarenavirus		Guanarito arenavirus | Guanarito virus | guanarito mammarenavirus	Human pathogen
1079	NCBITaxon:80941	Guaroa virus 		guaroa orthobunyavirus  | guaroa virus 	Human pathogen
1080	NCBITaxon:1980471	Hantaan virus		Epidemic Hemorrhagic Fever Virus | Hantaan hantavirus | Hantaan orthohantavirus | Hantaan virus | Korean Hemorrhagic Fever Virus | Korean hemorrhagic fever virus | hantaan hantavirus | hantaan virus	Human pathogen
1082	NCBITaxon:2747342	Heartland banyangvirus 		Heartland bandavirus | Heartland banyangvirus | heartland banyangvirus 	Human pathogen
1083	NCBITaxon:63330	Hendra virus		Equine morbillivirus | Hendra virus | hendra henipavirus | hendra virus	Human pathogen
1084	NCBITaxon:12092	Hepatitis A virus		Hepatitis A virus | hepatitis a hepatovirus | hepatitis a virus	Human pathogen
1085	NCBITaxon:10407	Hepatitis B virus		Human hepatitis B virus | (hepatitis B virus & HBV) | hepatitis B virus HBV | hepatitis B virus, HBV | hepatitis b  | hepatitis b virus | human hepatitis B virus HBV | virushepatitisvirus virusbvirus virusvirusvirus	Human pathogen
1086	NCBITaxon:11103	Hepatitis C virus		Hepacavirus C | Hepatitis C virus | hepatitis C virus HCV | hepatitis c hepacivirus | hepatitis c virus | human hepatitis C virus | human hepatitis C virus HCV | human hepatitis virus C HCV | post-transfusion hepatitis non A non B virus	Human pathogen
1087	NCBITaxon:12475	Hepatitis delta virus		Hepatitis D virus | delta hepatitis virus | hepatitis delta deltavirus | hepatitis delta virus | hepatitis delta virus HDV	Human pathogen
1088	NCBITaxon:12461	Hepatitis E virus		hepatitis e hepevirus | hepatitis e virus	Human pathogen
1090	NCBITaxon:397342	Horsepox virus		horsepox orthopoxvirus | horsepox virus	Human pathogen
1091	NCBITaxon:1907210	Human adenovirus		Human adenovirus | Human mastadenovirus | human adenovirus	Human pathogen
1093	NCBITaxon:1868658	Human astrovirus		human astrovirus	Human pathogen
1094	NCBITaxon:32603	Human betaherpesvirus 6A		Human herpesvirus 6A | human betaherpesvirus 6a	Human pathogen
1095	NCBITaxon:32604	Human betaherpesvirus 6B		Human herpes virus 6B | Human herpesvirus 6 type B | Human herpesvirus 6B | human betaherpesvirus 6b	Human pathogen
1097	NCBITaxon:329641	Human bocavirus		human bocavirus	Opportunistic human pathogen
1101	NCBITaxon:694448	Human coronavirus		human coronavirus	Human pathogen
1102	NCBITaxon:11137	Human coronavirus 229E		Coronavirus 229E | (Human coronavirus & STRAIN 229E) | Human coronavirus serogroup 229E | Human coronavirus strain 229E | human coronavirus 229e	Human pathogen
1103	NCBITaxon:290028	Human coronavirus HKU1		CoV-HKU1 | Human CoV/HKU1 | human coronavirus hku1	Human pathogen
1104	NCBITaxon:31631	Human coronavirus OC43		(Human coronavirus & strain OC43) | Human coronavirus strain OC43 | human coronavirus oc43	Human pathogen
1105	NCBITaxon:10359	Human cytomegalovirus		Human betaherpesvirus 5 | Human cytomegalovirus | Human herpesvirus 5 | human cytomegalovirus | human herpesvirus type 5	Human pathogen
1106	NCBITaxon:42789	Human enterovirus 68		Enterovirus 68 | Human enterovirus 68 | Human enterovirus D68 | Human enterovirus EV68 | human enterovirus 68	Human pathogen
1107	NCBITaxon:12090	Human enterovirus 70		Enterovirus 70 | Enterovirus type 70 | human enterovirus 70	Human pathogen
1108	NCBITaxon:39054	Human enterovirus A71		Enterovirus 71 | Enterovirus EV-A71 | Human enterovirus 71 | Human enterovirus A71 | Human enterovirus type 71 | enterovirus type 71 | human enterovirus a71	Human pathogen
1109	NCBITaxon:138949	Human enteroviruses B		Enterovirus EV-B | Human enterovirus B | human enteroviruses b	Human pathogen
1112	NCBITaxon:10298	Human herpesvirus 1		Human alphaherpesvirus 1 | Human herpesvirus type 1 | herpes simplex virus 1 HSV-1 | herpes simplex virus HSV-1 | herpes simplex virus type 1 HSV-1 | herpes simplex virus type 1 HSV1 | herpes simplex virus type-1 HSV-1 | human herpesvirus 1	Human pathogen
1113	NCBITaxon:10310	Human herpesvirus 2		(Herpes simplex virus & type 2) | Herpes simplex virus II | Herpes simplex virus type 2 | (Herpes simplex virus type 2 & HSV-2) | Human alphaherpesvirus 2 | Human herpesvirus 2 | human herpesvirus 2	Human pathogen
1114	NCBITaxon:10368	Human herpesvirus 6		Herpesvirus type 6 | Human betaherpesvirus 6 | Human herpesvirus 6 | Human herpesvirus type 6 | herpes simplex virus type 6 | herpesvirus 6 HHV-6 | human herpesvirus 6 | human herpesvirus 6 HHV-6 | human herpesvirus type 6 HHV-6	Human pathogen
1115	NCBITaxon:10372	Human herpesvirus 7		Herpes simplex virus 7 | Human betaherpesvirus 7 | Human herpesvirus 7 | Human herpesvirus type 7 | human herpesvirus 7 | human herpesvirus 7 HHV-7	Human pathogen
1116	NCBITaxon:37296	Human herpesvirus 8		Human gammaherpesvirus 8 | Human herpesvirus 8 | Human herpesvirus 8 type P | Kaposi's sarcoma herpesvirus | Kaposi's sarcoma-associated herpesvirus - Human herpesvirus 8 | human herpesvirus 8	Human pathogen
1117	NCBITaxon:12721	Human immunodeficiency virus		HIV | human immunodeficiency lentivirus | human immunodeficiency virus	Human pathogen
1118	NCBITaxon:129875	Human mastadenovirus A		Human adenovirus A | human mastadenovirus a	Human pathogen
1119	NCBITaxon:108098	Human mastadenovirus B		Human adenovirus B | human mastadenovirus b	Human pathogen
1120	NCBITaxon:129951	Human mastadenovirus C		Human adenovirus C | human mastadenovirus c	Human pathogen
1121	NCBITaxon:130310	Human mastadenovirus D		Human adenovirus D | human mastadenovirus d	Human pathogen
1122	NCBITaxon:130309	Human mastadenovirus F 		Human adenovirus F | human mastadenovirus f 	Human pathogen
1123	NCBITaxon:162145	Human metapneumovirus		human metapneumovirus	Human pathogen
1124	NCBITaxon:334203	Human papillomavirus 1		Human papillomavirus - 1 | Human papillomavirus 1 | human papillomavirus 1	Human pathogen
1125	NCBITaxon:333760	Human papillomavirus 16		Human papilloma virus type 16 | Human papillomavirus - 16 | Human papillomavirus 16 | human papillomavirus 16 | human papillomavirus type 16 HPV 16 | human papillomavirus type 16 HPV16	Human pathogen
1126	NCBITaxon:337042	Human papillomavirus 18		human papillomavirus 18	Human pathogen
1127	NCBITaxon:337043	Human papillomavirus 2		Human papillomavirus - 2 | Human papillomavirus 2 | human papillomavirus 2	Human pathogen
1128	NCBITaxon:12730	Human parainfluenza virus 1		Human parainfluenza 1 virus | Human parainfluenza virus 1 | Human parainfluenza virus type 1 | Human respirovirus 1 | Parainfluenza virus type 1 | human parainfluenza respirovirus 1 | human parainfluenza virus 1 | human parainfluenza virus type 1 HPIV-1 | human parainfluenza virus type 1 hPIV1	Human pathogen
1129	NCBITaxon:2560525	Human parainfluenza virus 2		Human orthorubulavirus 2 | Human parainfluenza 2 virus | Human parainfluenza virus 2 | Human parainfluenza virus type 2 | Human rubulavirus 2 | Parainfluenza virus type 2 | human parainfluenza orthorubulavirus   2 | human parainfluenza virus 2	Human pathogen
1130	NCBITaxon:11216	Human parainfluenza virus 3		Human parainfluenza 3 virus | Human parainfluenza virus 3 | Human parainfluenza virus type 3 | Human respirovirus 3 | Parainfluenza virus type 3 | human parainfluenza orthorubulavirus   3 | human parainfluenza virus 3 | human parainfluenza virus 3 HPIV3 | human parainfluenza virus type 3 PIV3 | parainfluenza virus type 3 PIV-3	Human pathogen
1131	NCBITaxon:2560526	Human parainfluenza virus 4		HPIV type 4 | Human orthorubulavirus 4 | Human parainfluenza virus 4 | Human parainfluenza virus type 4 | Human rubulavirus 4 | Parainfluenza virus type 4 | human parainfluenza orthorubulavirus   4 | human parainfluenza virus 4	Human pathogen
1133	NCBITaxon:10798	Human parvovirus B19		B19 virus | Erythrovirus B19 | Human erythrovirus B19 | Parvovirus B19 | human parvovirus b19	Human pathogen
1140	NCBITaxon:11250	Human respiratory syncytial virus		Human respiratory syncytial virus | human RSV | human respiratory syncytial pneumovirus | human respiratory syncytial virus	Human pathogen
1141	NCBITaxon:169066	Human rhinovirus		human rhinovirus	Human pathogen
1142	NCBITaxon:10941	Human rotavirus A		Human group A rotavirus | human rotavirus a	Human pathogen
1143	NCBITaxon:10942	Human rotavirus B		human rotavirus b	Human pathogen
1144	NCBITaxon:10943	Human rotavirus C		Human rotavirus group C | human group C rotavirus | human rotavirus c	Human pathogen
1145	NCBITaxon:694009	Human SARS coronavirus		(Human coronavirus & SARS) | SARS-like coronavirus | SARS-related coronavirus | Severe acute respiratory syndrome-related coronavirus | human sars coronavirus	Human pathogen
1146	NCBITaxon:11963	Human spumaretrovirus		foamy virus | human spumaretrovirus	Human pathogen
1147	NCBITaxon:11908	Human T-lymphotropic virus 1		Human T cell leukemia virus type 1 | Human T-cell leukemia virus type 1 | Human T-cell leukemia virus type I HTLV-I | Human T-cell leukemia virus-1 | Human T-cell lymphotropic virus 1 | Human T-cell lymphotropic virus type I | Human T-lymphotropic virus 1 | Human T-lymphotropic virus type 1 | Human adult T-cell leukemia virus | Human lymphotropic virus type I | human T cell leukemia virus type 1 HTLV-1 | human T cell lymphotropic virus type I HTLV-I | human T-cell leukemia virus I | human T-cell leukemia virus type 1 HTLV-1 | human T-cell leukemia/lymphoma virus type I HTLV-I | human T-cell leukemia/lymphotropic virus type I HTLV-I | human T-cell lymphoma/leukemia virus type I HTLV-I | human T-cell lymphotropic virus type 1, HTLV-1 | human T-lymphotropic virus type 1 HTLV-1 | human T-lymphotropic virus type I HTLV-I | human t-lymphotropic deltaretrovirus 1 | human t-lymphotropic virus 1	Human pathogen
1148	NCBITaxon:11909	Human T-lymphotropic virus 2		Human T-Cell leukemia virus type 2 | Human T-cell leukemia virus type II | Human T-cell lymphotropic virus type 2 | Human T-cell lymphotropic virus type II | Human T-lymphotropic virus Type II | Human lymphotropic virus type 2 | Human lymphotropic virus type II | human T cell leukemia virus II HTLV-II | human T lymphotropic virus type II HTLV-II | human T-cell leukemia virus II | human T-cell lymphotropic virus type II HTLV-II | human t-lymphotropic deltaretrovirus 2 | human t-lymphotropic virus 2	Human pathogen
1149	NCBITaxon:67605	Human torovirus		human torovirus	Human pathogen
1150	NCBITaxon:273341	Ilesha virus		ilesha orthobunyavirus | ilesha virus	Human pathogen
1151	NCBITaxon:11320	Influenza A virus		Human Influenza A Virus | Influenza virus type A | influenza A virus | influenza a influenzavirus a | influenza a virus	Human pathogen
1152	NCBITaxon:11520	Influenza B virus		Influenza virus type B | influenza b influenzavirus b | influenza b virus	Human pathogen
1153	NCBITaxon:11552	Influenza C virus		Influenza C viruses | Influenza virus type C | influenza c influenzavirus c | influenza c virus	Human pathogen
1155	NCBITaxon:290008	Isfahan virus		isfahan vesiculovirus | isfahan virus	Human pathogen
1157	NCBITaxon:2560532	Jamestown Canyon orthobunyavirus		jamestown canyon orthobunyavirus	Human pathogen
1158	NCBITaxon:11072	Japanese encephalitis virus		(Japanese encephalitis virus & JE) | Japanese encephalitis virus JE | Japanese encephalitis virus JEV | japanese encephalitis flavivirus | japanese encephalitis virus	Human pathogen
1159	NCBITaxon:10632	JC polyomavirus		(Human polyomavirus & type JC) | JC polyomavirus JCV | JC virus | Polyomavirus hominis 2 | human polyomavirus JCV | jc polyomavirus | polyoma virus JC JCV | polyomavirus JC	Human pathogen
1160	NCBITaxon:2169991	Junin arenavirus		Argentinian mammarenavirus | Junin arenavirus | Junin mammarenavirus | Junin virus | Junn mammarenavirus | junin arenavirus	Human pathogen
1161	NCBITaxon:1891764	KI Polyomavirus		Human polyomavirus 3 | KI polyoma virus | KI polyomavirus | ki polyomavirus	Human pathogen
1162	NCBITaxon:11077	Kunjin virus		West Nile virus - Kunjin | kunjin flavivirus | kunjin virus	Human pathogen
1163	NCBITaxon:33743	Kyasanur Forest disease virus		kyasanur forest disease flavivirus | kyasanur forest disease virus	Human pathogen
1164	NCBITaxon:11577	La Crosse virus		Bunyavirus la crosse | la crosse orthobunyavirus | la crosse virus	Human pathogen
1165	NCBITaxon:38766	Lagos bat virus		Lagos bat lyssavirus | Lagos bat virus | Lyssavirus lagos | lagos bat lyssavirus | lagos bat virus	Human pathogen
1166	NCBITaxon:11269	Lake Victoria Marburgvirus		Frankfurt-Marburg Syndrome Virus | Lake Victoria marburgvirus | Marburg marburgvirus | Marburg virus | Marburg virus MBG | lake victoria marburgvirus	Human pathogen
1167	NCBITaxon:11085	Langat virus		Flavivirus langat | Langat virus LGT | langat flavivirus | langat virus	Human pathogen
1168	NCBITaxon:11620	Lassa virus		Lassa mammarenavirus | Lassa virus | lassa arenavirus | lassa virus	Human pathogen
1175	NCBITaxon:82658	Lordsdale virus		lordsdale norovirus | lordsdale virus	Human pathogen
1176	NCBITaxon:11086	Louping ill virus		louping ill flavivirus | louping ill virus	Human pathogen
1177	NCBITaxon:649188	Lujo mammarenavirus 		Lujo virus | lujo mammarenavirus 	Human pathogen
1178	NCBITaxon:11623	Lymphocytic choriomeningitis virus		Lymphocytic choriomeningitis mammarenavirus | Lymphocytic choriomeningitis virus | lymphocytic choriomeningitis arenavirus | lymphocytic choriomeningitis virus | lymphocytic choriomeningitis virus LCMV	Human pathogen
1180	NCBITaxon:11628	Machupo virus		Bolivian hemorrhagic fever virus | Machupo mammarenavirus | Machupo virus | machupo arenavirus | machupo virus	Human pathogen
1183	NCBITaxon:538120	Mammalian orthoreovirus 1 		Reovirus 1 | Reovirus type 1 | mammalian orthoreovirus 1 	Human pathogen
1184	NCBITaxon:538121	Mammalian orthoreovirus 2		Mammalian orthoreovirus type 2 | Reovirus 2 | Reovirus type 2 | mammalian orthoreovirus 2	Human pathogen
1185	NCBITaxon:538123	Mammalian orthoreovirus 3		Reovirus 3 | Reovirus type 3 | mammalian orthoreovirus 3	Human pathogen
1187	NCBITaxon:59301	Mayaro virus		mayaro alphavirus | mayaro virus	Human pathogen
1188	NCBITaxon:11234	Measles virus		Cell-associated subacute sclerosing panencephalitis | Measles morbillivirus | Measles virus | Rubeola virus | Subacute sclerosing panencephalitis virus | measles morbilivirus | measles virus | measles virus MV | rougeole virus | rubeola virus | subacute sclerose panencephalitis virus | subacute sclerosing panencephalitis virus, SSPEV	Human pathogen
1189	NCBITaxon:12107	Mengo encephalomyocarditis virus		Mengo encephalomyocarditis virus | Mengo virus | Mengovirus | mengo encephalomyocarditis cardiovirus | mengo encephalomyocarditis virus	Human pathogen
1190	NCBITaxon:493803	Merkel cell polyomavirus		MCPyV isolate R17b | merkel cell polyomavirus	Human pathogen
1191	NCBITaxon:1335626	MERS coronavirus		MERS coronavirus | MERS virus | (Middle East Respiratory Syndrome Coronavirus & MERS-CoV) | Middle East respiratory syndrome coronavirus | Middle East respiratory syndrome-related coronavirus | mers coronavirus	Human pathogen
1192	NCBITaxon:11023	Middelburg virus		Middleburg virus | middelburg alphavirus | middelburg virus	Human pathogen
1194	NCBITaxon:12538	Mokola virus		Lyssavirus mokola | Mokola lyssavirus | Mokola virus | mokola lyssavirus | mokola virus	Human pathogen
1195	NCBITaxon:10279	Molluscum contagiosum virus		molluscum contagiosum molluscipoxvirus | molluscum contagiosum virus	Human pathogen
1196	NCBITaxon:10244	Monkeypox virus		Monkey Pox Virus | monkey pox virus | monkeypox orthopoxvirus | monkeypox virus | mpox virus	Human pathogen
1198	NCBITaxon:60875	Mucambo virus		VEEV-IIIA | Venezuelan equine encephalitis virus IIIA | mucambo alphavirus | mucambo virus	Human pathogen
1199	NCBITaxon:1979165	Mumps virus		Epidemic Parotitis Virus | Mumps orthorubulavirus | Mumps rubulavirus | Mumps virus | Myxovirus parotitidis | Rubulavirus Mumps | mumps rubulavirus | mumps virus	Human pathogen
1200	NCBITaxon:11079	Murray valley encephalitis virus		murray valley encephalitis flavivirus | murray valley encephalitis virus	Human pathogen
1201	NCBITaxon:1203539	MW polyomavirus 		MWPyV strain MA095 | mw polyomavirus 	Human pathogen
1202	NCBITaxon:194540	Nairobi Sheep Disease virus		nairobi sheep disease orthonairovirus | nairobi sheep disease virus	Human pathogen
1206	NCBITaxon:44755	New York virus		New York hantavirus | New York virus | new york hantavirus | new york virus	Human pathogen
1207	NCBITaxon:273357	Ngari virus		ngari orthobunyavirus | ngari virus	Human pathogen
1208	NCBITaxon:121791	Nipah virus		Nipah henipavirus | Nipah virus | Nipah-virus | nipah henipavirus | nipah virus	Human pathogen
1209	NCBITaxon:11983	Norwalk virus		Norovirus | Norwalk calicivirus | Norwalk gastroenteritis virus of humans | Norwalk virus NV | norwalk norovirus | norwalk virus	Human pathogen
1211	NCBITaxon:2169701	O'nyong-nyong virus		Onyong nyong Virus | o'nyong-nyong alphavirus | o'nyong-nyong virus	Human pathogen
1212	NCBITaxon:12542	Omsk haemorrhagic fever virus		Omsk haemorrhagic fever virus | Omsk haemorrhagic fever virus OHF | Omsk hemorrhagic fever virus | omsk haemorrhagic fever flavivirus | omsk haemorrhagic fever virus	Human pathogen
1213	NCBITaxon:10258	Orf virus		Contagious Ecthyma Virus of Sheep | Contagious pustular dermatitis virus | Ecthyma contagiosum Virus | Sheep Contagious Ecthyma Virus | orf parapoxvirus | orf virus	Human pathogen
1214	NCBITaxon:118655	Oropouche virus		oropouche orthobunyavirus | oropouche virus	Human pathogen
1215	NCBITaxon:40058	Orungo virus		Orungo virus group | orungo orbivirus | orungo virus	Human pathogen
1217	NCBITaxon:195055	Human parechovirus 3		Parechovirus A3 | human parechovirus 3	Human pathogen
1218	NCBITaxon:1803957	Parechovirus B		parechovirus b	Human pathogen
1220	NCBITaxon:2169993	Pichinde virus		pichinde arenavirus | pichinde virus	Human pathogen
1222	NCBITaxon:138950	Poliovirus		Enterovirus C | Enterovirus EV-C | Human enterovirus C | Poliovirus | poliovirus	Human pathogen
1223	NCBITaxon:12080	Poliovirus 1		Human poliovirus 1 | Human poliovirus type 1 | Polio virus 1 | Poliovirus type 1 | poliovirus 1 | poliovirus type 1 PV1	Human pathogen
1224	NCBITaxon:12083	Poliovirus 2		Human Poliovirus type 2 | Human poliovirus 2 | Poliovirus type 2 | poliovirus 2	Human pathogen
1225	NCBITaxon:12086	Poliovirus 3		Human poliovirus 3 | Human poliovirus type 3 | Polio virus 3 | poliovirus 3	Human pathogen
1227	NCBITaxon:11083	Powassan virus		Flavivirus powassan | powassan flavivirus | powassan virus	Human pathogen
1231	NCBITaxon:129726	Pseudocowpox virus		Milker Nodes Virus | Paravaccinia Virus | Pseudocowpoxvirus | pseudocowpox parapoxvirus | pseudocowpox virus	Human pathogen
1232	NCBITaxon:1933186	Punta toro phlebovirus		punta toro phlebovirus	Human pathogen
1233	NCBITaxon:1980486	Puumala virus		Puumala hantavirus | Puumala orthohantavirus | Puumala virus | Puumala virus PV | Puumalavirus | nephropathia epidemica virus | puumala hantavirus | puumala virus	Human pathogen
1234	NCBITaxon:11292	Rabies virus		Lyssavirus rabies | Rabies lyssavirus | Rabies virus | rabies lyssavirus | rabies virus	Human pathogen
1236	NCBITaxon:11588	Rift valley fever virus		rift valley fever phlebovirus | rift valley fever virus	Human pathogen
1237	NCBITaxon:64315	Rocio virus		rocio flavivirus | rocio virus	Human pathogen
1238	NCBITaxon:1511805	Rosavirus A		rosavirus a	Human pathogen
1239	NCBITaxon:11029	Ross river virus		ross river alphavirus | ross river virus	Human pathogen
1240	NCBITaxon:28875	Rotavirus A		Group A rotaviruses | Rotavirus group A | group A rotavirus | rotavirus a	Human pathogen
1241	NCBITaxon:28876	Rotavirus B		Group B rotaviruses | Rotavirus group B | group B rotavirus | group B rotavirus GBR | rotavirus b	Human pathogen
1242	NCBITaxon:36427	Rotavirus C		Group C rotaviruses | Rotavirus group C | group C rotavirus | rotavirus c	Human pathogen
1243	NCBITaxon:11041	Rubella virus		rubella rubivirus | rubella virus	Human pathogen
1244	NCBITaxon:64316	Russian spring–summer encephalitis virus		russian spring–summer encephalitis flavivirus | russian spring–summer encephalitis virus	Human pathogen
1245	NCBITaxon:2907957	Sabia virus 		Brazilian mammarenavirus | Sabi mammarenavirus | Sabia arenavirus | Sabia mammarenavirus | sabia mammarenavirus  | sabia virus 	Human pathogen
1246	NCBITaxon:59303	Sagiyama virus		sagiyama alphavirus | sagiyama virus	Human pathogen
1248	NCBITaxon:1330524	Salivirus A		salivirus a	Human pathogen
1250	NCBITaxon:206160	Sandfly fever Naples virus		sandfly fever naples phlebovirus | sandfly fever naples virus	Human pathogen
