ID	CURIS	CORPUS_NAME	TERMS QUERY	NOTES
1000	NCBITaxon:272636	Adeno-associated virus		adeno-associated dependovirus | adeno-associated virus	Human pathogen
1001	NCBITaxon:1313215	Aichi virus		Aichi virus | aichi kobuvirus | aichi virus	Human pathogen
1003	NCBITaxon:2200830	Akhmeta virus 		akhmeta orthopoxvirus  | akhmeta virus 	Opportunistic human pathogen
1005	NCBITaxon:172148	Alkhurma haemorrhagic fever virus		Al-Khurma Hemorrhagic Fever Virus | Al-Khurma Virus | Alkhurma Virus | alkhurma haemorrhagic fever flavivirus | alkhurma haemorrhagic fever virus	Opportunistic human pathogen
1007	NCBITaxon:1980456	Andes orthohantavirus		Andes Hantavirus | Andes Virus | Andes hantavirus | Andes virus | andes orthohantavirus	Opportunistic human pathogen
1008	NCBITaxon:90961	Australian bat lyssavirus		Australian bat lyssavirus | australian bat lyssavirus	Human pathogen
1009	NCBITaxon:2560319	Avian orthoavulavirus 1		Avian Paramyxovirus Serotype I | Avian avulavirus 1 | Avian paramyxovirus type 1 | Avian paramyxovirus type-1 | Newcastle disease virus | Newcastle disease virus NDV | avian orthoavulavirus 1 | avian paramyxovirus 1	Human pathogen
1010	NCBITaxon:77763	Banna virus		Coltivirus BANNA | banna seadornavirus | banna virus	Human pathogen
1011	NCBITaxon:11020	Barmah forest virus		barmah forest alphavirus | barmah forest virus	Human pathogen
1013	NCBITaxon:1980459	Bayou orthohantavirus		Bayou hantavirus | Bayou virus | bayou orthohantavirus	Human pathogen
1018	NCBITaxon:1213620	Bhanja virus		bhanja bandavirus | bhanja virus	Opportunistic human pathogen
1019	NCBITaxon:1891762	BK polyomavirus		BK Virus | BK polyomavirus | BK virus | BK virus BKV | Human Polyomavirus BK | Human polyomavirus & type BK | Human polyomavirus 1 | Human polyomavirus BK | Human polyomavirus BKV | Papovavirus BKV | Polyomavirus BK | Polyomavirus hominis 1 | bk polyomavirus | human polyomavirus type BK BKV | polyomavirus BK	Human pathogen
1020	NCBITaxon:1980460	Black Creek Canal orthohantavirus		Black Creek Canal hantavirus | Black Creek Canal virus | black creek canal orthohantavirus	Human pathogen
1021	NCBITaxon:12455	Borna disease virus		Borna disease virus BDV | borna disease unclassified | borna disease virus	Opportunistic human pathogen
1022	NCBITaxon:1618189	Bourbon virus		bourbon thogotovirus | bourbon virus	Human pathogen
1024	NCBITaxon:1391667	Bufavirus-3		bufavirus-3	Human pathogen
1025	NCBITaxon:32605	Buffalopox virus		Buffalo pox virus | buffalopox orthopoxvirus | buffalopox virus	Human pathogen
1026	NCBITaxon:565995	Bundibugyo ebolavirus		Bundibugyo virus | Ebolavirus bundibugyo | bundibugyo ebolavirus	Human pathogen
1027	NCBITaxon:35304	Bunyamwera virus		Bunyamwera bunyavirus group | Bunyamwera serogroup | Bunyamwera virus group | bunyamwera orthobunyavirus | bunyamwera virus	Human pathogen
1028	NCBITaxon:11580	Bunyavirus snowshoe hare		Bunyavirus snowshoe hare | Snowshoe hare bunyavirus | bunyavirus snowshoe hare	Human pathogen
1029	NCBITaxon:35310	Bwamba orthobunyavirus		5-Bwamba virus Group | Bwamba bunyavirus group | Bwamba serogroup | Bwamba virus | bwamba orthobunyavirus	Human pathogen
1030	NCBITaxon:80935	Cache Valley virus		cache valley orthobunyavirus | cache valley virus	Human pathogen
1031	NCBITaxon:1933264	California encephalitis orthobunyavirus 		california encephalitis orthobunyavirus 	Human pathogen
1034	NCBITaxon:11092	Central European tick-borne encephalitis virus Kumlinge		Central European tick-borne encephalitis virus Kumlinge | Flavivirus kumlinge | central european tick-borne encephalitis flavivirus kumlinge | central european tick-borne encephalitis virus kumlinge	Human pathogen
