ID	CURIS	CORPUS_NAME	TERMS QUERY	NOTES
2189	NCBITaxon:36809	Mycobacterium abscessus		mycobacterium abscessus	Human pathogen
2190	NCBITaxon:33894	Mycobacterium africanum		mycobacterium africanum	Human pathogen
2191	NCBITaxon:1764	Mycobacterium avium		mycobacterium avium	Opportunistic human pathogen
2192	NCBITaxon:1765	Mycobacterium bovis		mycobacterium bovis	Human pathogen
2194	NCBITaxon:1774	Mycobacterium chelonae		mycobacterium chelonae	Opportunistic human pathogen
2196	NCBITaxon:1766	Mycobacterium fortuitum		mycobacterium fortuitum	Human pathogen
2197	NCBITaxon:1767	Mycobacterium intracellulare		mycobacterium intracellulare	Opportunistic human pathogen
2198	NCBITaxon:1768	Mycobacterium kansasii		mycobacterium kansasii	Opportunistic human pathogen
2199	NCBITaxon:1769	Mycobacterium leprae		mycobacterium leprae	Human pathogen
2200	NCBITaxon:480418	Mycobacterium lepromatosis		mycobacterium lepromatosis	Human pathogen
2202	NCBITaxon:1780	Mycobacterium malmoense		mycobacterium malmoense	Human pathogen
2203	NCBITaxon:1781	Mycobacterium marinum		mycobacterium marinum	Human pathogen
2204	NCBITaxon:1806	Mycobacterium microti		mycobacterium microti	Human pathogen
2205	NCBITaxon:1770	Mycobacterium paratuberculosis		mycobacterium avium paratuberculosis | mycobacterium paratuberculosis	Human pathogen
2207	NCBITaxon:1783	Mycobacterium scrofulaceum		mycobacterium scrofulaceum	Opportunistic human pathogen
2208	NCBITaxon:1784	Mycobacterium simiae		mycobacterium simiae	Human pathogen
2209	NCBITaxon:1772	Mycobacterium smegmatis		mycobacterium smegmatis	Opportunistic human pathogen
2210	NCBITaxon:1787	Mycobacterium szulgai		mycobacterium szulgai	Opportunistic human pathogen
2211	NCBITaxon:1788	Mycobacterium terrae		mycobacterium terrae	Human pathogen
2212	NCBITaxon:1773	Mycobacterium tuberculosis		mycobacterium tuberculosis	Human pathogen
2213	NCBITaxon:1809	Mycobacterium ulcerans		mycobacterium ulcerans	Human pathogen
2214	NCBITaxon:59750	Mycobacterium wolinskyi		mycobacterium wolinskyi	Human pathogen
2215	NCBITaxon:1789	Mycobacterium xenopi		mycobacterium xenopi	Human pathogen
2216	NCBITaxon:2097	Mycoplasma genitalium		mycoplasma genitalium	Human pathogen
2217	NCBITaxon:2098	Mycoplasma hominis		mycoplasma hominis	Human pathogen
2219	NCBITaxon:2104	Mycoplasma pneumoniae		mycoplasma pneumoniae	Human pathogen
2220	NCBITaxon:2124	Mycoplasma salivarium		mycoplasma salivarium	Human pathogen
2223	NCBITaxon:55603	Mycoplasmopsis caviae		mycoplasmopsis caviae	Opportunistic human pathogen
2224	NCBITaxon:2115	Mycoplasmopsis fermentans		mycoplasmopsis fermentans	Opportunistic human pathogen
2225	NCBITaxon:485	Neisseria gonorrhoeae		neisseria gonorrhoeae	Human pathogen
2226	NCBITaxon:487	Neisseria meningitidis		neisseria meningitidis	Human pathogen
2227	NCBITaxon:951	Neorickettsia sennetsu		neorickettsia sennetsu	Human pathogen
2228	NCBITaxon:1824	Nocardia asteroides		nocardia asteroides	Opportunistic human pathogen
2229	NCBITaxon:37326	Nocardia brasiliensis		nocardia brasilensis | nocardia brasiliensis	Human pathogen
2230	NCBITaxon:37329	Nocardia farcinica		nocardia farcinica	Opportunistic human pathogen
2231	NCBITaxon:37330	Nocardia nova		nocardia nova	Opportunistic human pathogen
2232	NCBITaxon:1823	Nocardia otitidiscaviarum		nocardia otitidiscaviarum	Opportunistic human pathogen
2233	NCBITaxon:784	Orientia tsutsugamushi		orientia tsutsugamushi	Human pathogen
2237	NCBITaxon:747	Pasteurella multocida		pasteurella multocida	Human pathogen
2242	NCBITaxon:1261	Peptostreptococcus anaerobius		peptostreptococcus anaerobius	Human pathogen
2243	NCBITaxon:1258	Peptostreptococcus asaccharolyticus		peptostreptococcus asaccharolyticus	Human pathogen
